arm,component,family,fold,zero_denominator_query_count,A_count,B_count,A_fraction,B_fraction,affected_case_count,affected_lineage_count
MS,density_rate,F1,FOLD_0,0,0,0,,,0,0
MS,density_rate,F1,FOLD_1,0,0,0,,,0,0
MS,density_rate,F1,FOLD_2,0,0,0,,,0,0
MS,density_rate,F1,FOLD_3,0,0,0,,,0,0
MS,density_rate,F1,FOLD_4,0,0,0,,,0,0
MS,density_rate,F1,FOLD_5,0,0,0,,,0,0
MS,density_rate,F2,FOLD_0,0,0,0,,,0,0
MS,density_rate,F2,FOLD_1,0,0,0,,,0,0
MS,density_rate,F2,FOLD_2,0,0,0,,,0,0
MS,density_rate,F2,FOLD_3,0,0,0,,,0,0
MS,density_rate,F2,FOLD_4,1,1,0,1.0,0.0,1,1
MS,density_rate,F2,FOLD_5,0,0,0,,,0,0
MS,density_rate,F3,FOLD_0,0,0,0,,,0,0
MS,density_rate,F3,FOLD_1,1,1,0,1.0,0.0,1,1
MS,density_rate,F3,FOLD_2,0,0,0,,,0,0
MS,density_rate,F3,FOLD_3,0,0,0,,,0,0
MS,density_rate,F3,FOLD_4,0,0,0,,,0,0
MS,density_rate,F3,FOLD_5,0,0,0,,,0,0
MS,density_rate,F4,FOLD_0,0,0,0,,,0,0
MS,density_rate,F4,FOLD_1,0,0,0,,,0,0
MS,density_rate,F4,FOLD_2,0,0,0,,,0,0
MS,density_rate,F4,FOLD_3,0,0,0,,,0,0
MS,density_rate,F4,FOLD_4,0,0,0,,,0,0
MS,density_rate,F4,FOLD_5,0,0,0,,,0,0
MS,pressure_gradient_acceleration,F1,FOLD_0,3,3,0,1.0,0.0,3,3
MS,pressure_gradient_acceleration,F1,FOLD_1,4,4,0,1.0,0.0,4,4
MS,pressure_gradient_acceleration,F1,FOLD_2,1,1,0,1.0,0.0,1,1
MS,pressure_gradient_acceleration,F1,FOLD_3,5,5,0,1.0,0.0,5,5
MS,pressure_gradient_acceleration,F1,FOLD_4,6,6,0,1.0,0.0,5,5
MS,pressure_gradient_acceleration,F1,FOLD_5,6,6,0,1.0,0.0,5,5
MS,pressure_gradient_acceleration,F2,FOLD_0,13,13,0,1.0,0.0,7,6
MS,pressure_gradient_acceleration,F2,FOLD_1,3,3,0,1.0,0.0,3,3
MS,pressure_gradient_acceleration,F2,FOLD_2,15,15,0,1.0,0.0,7,5
MS,pressure_gradient_acceleration,F2,FOLD_3,9,9,0,1.0,0.0,6,4
MS,pressure_gradient_acceleration,F2,FOLD_4,3,3,0,1.0,0.0,2,2
MS,pressure_gradient_acceleration,F2,FOLD_5,2,2,0,1.0,0.0,2,1
MS,pressure_gradient_acceleration,F3,FOLD_0,14,14,0,1.0,0.0,9,8
MS,pressure_gradient_acceleration,F3,FOLD_1,2,2,0,1.0,0.0,2,2
MS,pressure_gradient_acceleration,F3,FOLD_2,11,11,0,1.0,0.0,8,5
MS,pressure_gradient_acceleration,F3,FOLD_3,8,8,0,1.0,0.0,7,6
MS,pressure_gradient_acceleration,F3,FOLD_4,2,2,0,1.0,0.0,2,2
MS,pressure_gradient_acceleration,F3,FOLD_5,0,0,0,,,0,0
MS,pressure_gradient_acceleration,F4,FOLD_0,0,0,0,,,0,0
MS,pressure_gradient_acceleration,F4,FOLD_1,5,5,0,1.0,0.0,4,2
MS,pressure_gradient_acceleration,F4,FOLD_2,0,0,0,,,0,0
MS,pressure_gradient_acceleration,F4,FOLD_3,0,0,0,,,0,0
MS,pressure_gradient_acceleration,F4,FOLD_4,3,3,0,1.0,0.0,2,1
MS,pressure_gradient_acceleration,F4,FOLD_5,4,4,0,1.0,0.0,3,1
MS,viscosity_laplacian_acceleration,F1,FOLD_0,0,0,0,,,0,0
MS,viscosity_laplacian_acceleration,F1,FOLD_1,0,0,0,,,0,0
MS,viscosity_laplacian_acceleration,F1,FOLD_2,0,0,0,,,0,0
MS,viscosity_laplacian_acceleration,F1,FOLD_3,0,0,0,,,0,0
MS,viscosity_laplacian_acceleration,F1,FOLD_4,0,0,0,,,0,0
MS,viscosity_laplacian_acceleration,F1,FOLD_5,0,0,0,,,0,0
MS,viscosity_laplacian_acceleration,F2,FOLD_0,0,0,0,,,0,0
MS,viscosity_laplacian_acceleration,F2,FOLD_1,0,0,0,,,0,0
MS,viscosity_laplacian_acceleration,F2,FOLD_2,0,0,0,,,0,0
MS,viscosity_laplacian_acceleration,F2,FOLD_3,0,0,0,,,0,0
MS,viscosity_laplacian_acceleration,F2,FOLD_4,1,1,0,1.0,0.0,1,1
MS,viscosity_laplacian_acceleration,F2,FOLD_5,0,0,0,,,0,0
MS,viscosity_laplacian_acceleration,F3,FOLD_0,0,0,0,,,0,0
MS,viscosity_laplacian_acceleration,F3,FOLD_1,1,1,0,1.0,0.0,1,1
MS,viscosity_laplacian_acceleration,F3,FOLD_2,0,0,0,,,0,0
MS,viscosity_laplacian_acceleration,F3,FOLD_3,0,0,0,,,0,0
MS,viscosity_laplacian_acceleration,F3,FOLD_4,0,0,0,,,0,0
MS,viscosity_laplacian_acceleration,F3,FOLD_5,0,0,0,,,0,0
MS,viscosity_laplacian_acceleration,F4,FOLD_0,0,0,0,,,0,0
MS,viscosity_laplacian_acceleration,F4,FOLD_1,0,0,0,,,0,0
MS,viscosity_laplacian_acceleration,F4,FOLD_2,0,0,0,,,0,0
MS,viscosity_laplacian_acceleration,F4,FOLD_3,0,0,0,,,0,0
MS,viscosity_laplacian_acceleration,F4,FOLD_4,0,0,0,,,0,0
MS,viscosity_laplacian_acceleration,F4,FOLD_5,0,0,0,,,0,0
